#Timestamp	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	CPU Voltage(V)	CPU Power(W)	L1_DATA_CACHE_ACCESS	CPU_CYCLES	L1_INSTR_CACHE_ACCESS	BUS_CYCLES	BUS_ACCESS_PERIPHERAL	BRANCH_SPECULATIVELY_EXECUTED_PROCEDURE_RETURN
126 bzip2d 1 204 24 0.842000 0.308000  1.294828 -1.266714 -0.586434 -1.404665 0.000690 0.373228 
240 bzip2d 1 204 24 0.842000 0.308000  1.283590 -1.242417 -0.576517 -1.242286 0.002715 0.365261 
352 consumer_jpeg_d 1 204 24 0.842000 0.385000  6.196900 -1.955377 7.107261 -1.954849 0.007845 2.017822 
466 consumer_jpeg_d 1 204 24 0.842000 0.462000  0.006887 0.023472 0.008681 0.023749 0.000007 0.000491 
578 consumer_jpeg_d 1 204 24 0.842000 0.385000  0.003036 0.010755 0.003739 0.011046 0.000005 0.000248 
687 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.003678 0.012592 0.004554 0.012763 0.000004 0.000261 
797 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.003924 0.012609 0.004687 0.012731 0.000003 0.000286 
912 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.001992 0.007723 0.002681 0.007861 0.000005 0.000201 
1023 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.002134 0.008034 0.002861 0.008256 0.000004 0.000194 
1133 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.003478 0.009756 0.004203 0.009873 0.000003 0.000179 
1250 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.005856 0.015604 0.006947 0.016228 0.000005 0.000296 
1361 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.003105 0.011496 0.003861 0.011617 0.000003 0.000239 
1472 consumer_jpeg_d 1 204 24 0.842000 0.231000  0.001352 0.005235 0.001892 0.005369 0.000003 0.000142 
1582 consumer_jpeg_d 1 204 25 0.842000 0.231000  0.002846 0.009981 0.003541 0.010117 0.000003 0.000224 
1695 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.002194 0.007241 0.002879 0.007377 0.000002 0.000194 
1808 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001168 0.005082 0.001797 0.005310 0.000002 0.000130 
1918 consumer_jpeg_d 1 204 25 0.842000 0.231000  0.002132 0.006466 0.002750 0.006689 0.000002 0.000139 
2027 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.001442 0.005922 0.002125 0.006094 0.000002 0.000138 
2139 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.001918 0.008264 0.002772 0.008381 0.000002 0.000174 
2250 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001670 0.007041 0.002440 0.007150 0.000002 0.000155 
2361 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.004213 0.010157 0.004897 0.010281 0.000002 0.000186 
2471 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.004575 0.011303 0.005372 0.011408 0.000002 0.000172 
2581 consumer_jpeg_d 1 204 25 0.842000 0.463000  0.004022 0.010244 0.004755 0.010349 0.000002 0.000164 
2694 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.001062 0.004260 0.001569 0.004435 0.000002 0.000120 
2804 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.002058 0.006511 0.002666 0.006625 0.000002 0.000133 
2913 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.005287 0.012342 0.006067 0.012446 0.000002 0.000180 
3024 consumer_jpeg_d 1 204 25 0.842000 0.384000  0.000966 0.004028 0.001426 0.004146 0.000002 0.000107 
3135 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.003212 0.007831 0.003807 0.007950 0.000002 0.000133 
3244 consumer_jpeg_d 1 204 25 0.842000 0.386000  0.000967 0.003698 0.001339 0.003798 0.000002 0.000093 
3353 consumer_jpeg_d 1 204 25 0.842000 0.386000  0.005021 0.011511 0.005733 0.011631 0.000002 0.000159 
3465 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.004430 0.010546 0.005142 0.010653 0.000002 0.000165 
3580 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001761 0.005570 0.002303 0.005692 0.000002 0.000115 
3689 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.002453 0.007019 0.003046 0.007133 0.000002 0.000131 
3800 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.004650 0.010903 0.005347 0.011006 0.000002 0.000160 
3911 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001054 0.004290 0.001561 0.004462 0.000002 0.000110 
4021 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.001508 0.005010 0.002032 0.005114 0.000002 0.000107 
4132 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.002077 0.006840 0.002753 0.006953 0.000002 0.000142 
4243 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.002641 0.007345 0.003246 0.007458 0.000002 0.000130 
4356 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.305920 0.746016 0.343577 0.746353 0.000028 0.013052 
4466 consumer_jpeg_d 1 204 25 0.842000 0.231000  0.006480 0.016730 0.007772 0.016842 0.000004 0.000255 
4579 consumer_jpeg_d 1 204 24 0.842000 0.308000  0.001337 0.005642 0.001967 0.005748 0.000002 0.000125 
4689 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001163 0.004850 0.001722 0.004961 0.000002 0.000112 
4800 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.002534 0.007216 0.003165 0.007320 0.000002 0.000127 
4910 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.002247 0.006079 0.002755 0.006168 0.000002 0.000109 
5021 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.002097 0.005528 0.002514 0.005636 0.000002 0.000176 
5134 consumer_jpeg_d 1 204 25 0.842000 0.539000  0.056896 0.137215 0.063183 0.137284 0.000004 0.002527 
5243 consumer_jpeg_d 1 204 25 0.842000 0.539000  0.002153 0.005379 0.002504 0.005421 0.000000 0.000078 
5356 consumer_jpeg_d 1 204 25 0.842000 0.539000  0.010066 0.031370 0.012783 0.031463 0.000009 0.000739 
5466 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001562 0.004311 0.001857 0.004353 0.000000 0.000063 
5576 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001397 0.003405 0.001604 0.003451 0.000000 0.000050 
5686 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.013946 0.046651 0.018182 0.046745 0.000013 0.001017 
5795 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.001527 0.006845 0.002215 0.006927 0.000002 0.000135 
5904 consumer_jpeg_d 1 204 24 0.842000 0.385000  0.004463 0.010267 0.005125 0.010350 0.000001 0.000143 
6015 consumer_jpeg_d 1 204 24 0.842000 0.385000  0.003006 0.007318 0.003530 0.007399 0.000001 0.000139 
6125 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.002078 0.005944 0.002603 0.006034 0.000002 0.000111 
6236 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000894 0.003635 0.001313 0.003723 0.000002 0.000090 
6348 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.001133 0.004782 0.001648 0.004880 0.000001 0.000111 
6459 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.001197 0.005320 0.001762 0.005402 0.000002 0.000105 
6576 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.129898 0.314655 0.146649 0.314844 0.000011 0.005425 
6685 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.005953 0.016251 0.006807 0.016439 0.000001 0.000436 
6796 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.003419 0.014404 0.004986 0.014498 0.000005 0.000309 
6906 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.004040 0.016706 0.005877 0.016856 0.000007 0.000371 
7016 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.003958 0.009094 0.004563 0.009232 0.000001 0.000130 
7126 consumer_jpeg_d 1 204 25 0.842000 0.539000  0.003732 0.008579 0.004270 0.008665 0.000002 0.000124 
7237 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001409 0.004301 0.001809 0.004399 0.000002 0.000090 
7347 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000632 0.002459 0.000938 0.002568 0.000001 0.000070 
7458 consumer_jpeg_d 1 204 25 0.842000 0.154000  0.002044 0.007099 0.002628 0.007189 0.000001 0.000171 
7569 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.000850 0.003616 0.001247 0.003694 0.000001 0.000084 
7680 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.002906 0.008768 0.003726 0.008844 0.000001 0.000196 
7791 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000829 0.003356 0.001233 0.003430 0.000001 0.000081 
7901 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001028 0.004456 0.001494 0.004563 0.000001 0.000094 
8011 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.001865 0.005331 0.002329 0.005429 0.000002 0.000098 
8121 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.003667 0.009034 0.004266 0.009108 0.000001 0.000132 
8231 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.003045 0.007732 0.003362 0.007806 0.000001 0.000209 
8345 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.025072 0.064820 0.028287 0.064858 0.000002 0.001197 
8453 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.002043 0.004567 0.002283 0.004604 0.000000 0.000064 
8563 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.008799 0.021757 0.009763 0.021833 0.000004 0.000537 
8672 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.002876 0.007149 0.003157 0.007221 0.000002 0.000193 
8782 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.000799 0.003401 0.001172 0.003472 0.000001 0.000078 
8892 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001722 0.004238 0.001987 0.004317 0.000001 0.000130 
9002 consumer_jpeg_d 1 204 25 0.842000 0.539000  0.003638 0.008956 0.004258 0.009030 0.000002 0.000133 
9114 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.000777 0.003193 0.001163 0.003296 0.000001 0.000080 
9224 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.002058 0.005457 0.002517 0.005574 0.000001 0.000097 
9335 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.002136 0.005419 0.002512 0.005541 0.000001 0.000164 
9445 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.000805 0.003306 0.001178 0.003374 0.000001 0.000077 
9556 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.098883 0.255816 0.108292 0.255929 0.000049 0.005782 
9668 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.005224 0.013474 0.006037 0.013588 0.000003 0.000279 
9780 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.003087 0.007362 0.003634 0.007619 0.000001 0.000114 
9891 consumer_jpeg_d 1 204 24 0.842000 0.308000  0.002829 0.007461 0.003172 0.007529 0.000001 0.000193 
10004 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.118221 0.286683 0.132237 0.286816 0.000009 0.004564 
10115 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.004965 0.012358 0.005859 0.012481 0.000003 0.000189 
10226 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000632 0.002456 0.000924 0.002524 0.000001 0.000067 
10337 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.001444 0.005104 0.001794 0.005184 0.000001 0.000104 
10448 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.000579 0.002268 0.000857 0.002349 0.000001 0.000061 
10558 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.000940 0.004090 0.001383 0.004155 0.000001 0.000088 
10671 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001548 0.004474 0.001947 0.004542 0.000001 0.000085 
10785 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.003109 0.007595 0.003640 0.007726 0.000001 0.000115 
